judul,penulis,penerbit,isbn,tahun_terbit,rak,kategori,harga_ganti,stok,deskripsi
Andai Obama Presiden Amerika,Hermawan Aksan,Mizan Pustaka,9789794335260,2009,300,Ilmu Pengetahuan Sosial,75000,1,Andai Obama Presiden Amerika
Menggagas Bisnis Islami,M. Ismail Yusanto,Gema Insani Press,9795617435,2002,300,Ilmu Pengetahuan Sosial,75000,1,Menggagas Bisnis Islami
Istriku Seribu,Emha Ainun Nadjib,Bentang,9786022911173,2015,300,Ilmu Pengetahuan Sosial,75000,1,Istriku Seribu
Karyawan Juga Bisa Kaya,"Ippho Santosa, dkk",Elex Media Komputindo,9786020292588,2017,300,Ilmu Pengetahuan Sosial,75000,1,Karyawan Juga Bisa Kaya
Life Excellent,Reza M. Syarief,Prestasi,9799959527,2006,300,Ilmu Pengetahuan Sosial,75000,1,Life Excellent
Menjadi Pembicara Andal,Yusuf Al-Uqshari,Gema Insani ,979560077X,2006,300,Ilmu Pengetahuan Sosial,75000,1,Menjadi Pembicara Andal
Melejit Dengan Kreatif,Yusuf al-Uqshari,Gema Insani Press,9795619527,2005,300,Ilmu Pengetahuan Sosial,75000,1,Melejit Dengan Kreatif
Imam Shamsi Ali Menebar Damai Di Bumi Barat,Julie Nava,Noura Books,9786021606131,2016,300,Ilmu Pengetahuan Sosial,75000,1,Imam Shamsi Ali Menebar Damai Di Bumi Barat
Inspirasi JK,Husain Abdullah ,PT Mizan Publika,9786021606179,2013,300,Ilmu Pengetahuan Sosial,75000,1,Inspirasi JK
Strategi Jitu Meraih Skor TOEFL600 Dalam 1 Bulan,Yusuf Priyasudiarja,Kaifa Learning,9786027870536,2014,300,Ilmu Pengetahuan Sosial,75000,1,Strategi Jitu Meraih Skor TOEFL600 Dalam 1 Bulan
Panduan Sukses UN SMP/MTs 2018,Tim Presiden Eduka,Genta Smart Publisher,9786026359698,2017,300,Ilmu Pengetahuan Sosial,75000,1,Panduan Sukses UN SMP/MTs 2018
Kupas Tuntas SKL UN ,"Muhammas Amien, Widya Ristanti",Genta Smart Publisher,9786026359605,2017,300,Ilmu Pengetahuan Sosial,75000,1,Kupas Tuntas SKL UN 
Kitab Lengkap EYD,Rahardian Bernando,DIVA Press,9786052791683,2015,400,Bahasa,75000,1,Kitab Lengkap EYD
600 High Frequency Words: A Corpus-Based Dictionary,Ndien Mahbudin,Pustaka Mazaya,9786026968043,2017,400,Bahasa,75000,1,600 High Frequency Words: A Corpus-Based Dictionary
Kamus Gaul Percakapan Bahasa Inggris,Yusup Priyasudiarja & Y. Sri Purwaningsih,Mizan Pustaka,9789791284738,2010,400,Bahasa,75000,1,Kamus Gaul Percakapan Bahasa Inggris
Kamus Ilmiah Populer,Achmad Maulana dkk,Absolute,9793641002,2008,400,Bahasa,75000,1,Kamus Ilmiah Populer
600 High Frequency Words: A Corpus-Based Dictionary,Ndien Mahbudin,Pustaka Mazaya,9786026968043,2017,400,Bahasa,75000,1,600 High Frequency Words: A Corpus-Based Dictionary
Kamus Sinonim Bahasa Inggris,Tim B First,Bentang Pustaka,9786022910213,2014,400,Bahasa,75000,1,Kamus Sinonim Bahasa Inggris
Pintar Membaca Arab Gundul,Agus Purwanto,PT. Mizan Pustaka,9786021337172,2014,400,Bahasa,75000,1,Pintar Membaca Arab Gundul
English For Islamic Learning,"Drs. Kardimin, M. Hum",PT. Mizan Pustaka,9786029255150,2011,400,Bahasa,75000,1,English For Islamic Learning
Kitab Lengkap EYD ,Rahardian Bernando,Diva Press,9786022791683,2015,400,Bahasa,75000,1,Kitab Lengkap EYD 
"My Name, My Vocabulary",Heriyati,PT Bentang Pustaka,9789792438789,2010,400,Bahasa,75000,1,"My Name, My Vocabulary"
Sukses Wawancara dalam Bahasa Inggris,Heriyati,Bentang Pustaka,9786021246191,2015,400,Bahasa,75000,1,Sukses Wawancara dalam Bahasa Inggris
Sukses Presentasi Dalam Bahasa Inggris,Heriyati,PT  Bentang Pustaka,9786021246184,2015,400,Bahasa,75000,1,Sukses Presentasi Dalam Bahasa Inggris
Daily English Conversations At School,Yusup Priyasudiarja,PT Mizan Pustaka,9786020851358,2016,400,Bahasa,75000,1,Daily English Conversations At School
Bahasa Arab Khas Gontor,"Dr. Hisyam Zaini, M.A",Bentang Pustaka,9786027888388,2013,400,Bahasa,75000,1,Bahasa Arab Khas Gontor
Kamus Pintar Bahasa Arab,"Aathifah Pratiwi, S.Pd.I",Pustaka Makmur,9786021658468,2014,400,Bahasa,75000,1,Kamus Pintar Bahasa Arab
"Yuk, Kepoin Bahasa Inggris",Heriyati,Penerbit B first,9786021246122,2015,400,Bahasa,75000,1,"Yuk, Kepoin Bahasa Inggris"
Creating Stories With Children,Andrew Wright,Oxford University Press,9780194372046,1997,400,Bahasa,75000,1,Creating Stories With Children
Kamus Besar Bahasa Indonesia,Tim Penyusun Kamus Pusat Bahasa,Balai Pustaka,979407182X,2002,400,Bahasa,75000,1,Kamus Besar Bahasa Indonesia
Kamus Umum Bahasa Indonesia Edisi Ketiga,W.J.S Poerwadarminta,Balai Pustaka,9796662914,2007,400,Bahasa,75000,1,Kamus Umum Bahasa Indonesia Edisi Ketiga
Revolusi Sehat,"Hiroyuki Kobayashi, M.D., Ph.D.",Kabushikigaisha Sunmark Publishing,9786021637463,2011,500,Sains,75000,1,Revolusi Sehat
Sehat Holistik Secara Alami,Tjok Gde Kerthyasa,"Qanita, Mizan Pustaka",9786029225648,2013,500,Sains,75000,1,Sehat Holistik Secara Alami
Kombinatorik,"Yohanes Surya, Debby Sanjaya",Kandel,9786026878007,2015,500,Sains,75000,1,Kombinatorik
Mekanika,"Yohanes Surya, Debby Sanjaya",Kandel,9786027505964,2015,500,Sains,75000,1,Mekanika
"Zat, Materi, dan Kalor","Tim Prof. Yohanes Surya, ph.D.",PT Kandel,9786027505957,2015,500,Sains,75000,1,"Zat, Materi, dan Kalor"
Math Hacks: Tip Cerdik Matematika,Vanessa Vakharia,Bhuana Ilmu Populer,9786230408472,2018,500,Sains,75000,1,Math Hacks: Tip Cerdik Matematika
Deadly Mist,Jerry D. Gray,Sinergi Publishing,9789799898791,2010,500,Sains,75000,1,Deadly Mist
Green For Life,Ade Kumalasari,B First,9786021246474,2015,500,Sains,75000,1,Green For Life
Ingin Sehat?,"Majdi Muhammad Asy Syahawi, M.Hidayatullah",Gema Insani Press,9789790772540,2011,500,Sains,75000,1,Ingin Sehat?
Kamus Lengkap Biologi,"Dr. Abdul Kahfi Assidig, M.Mc.",Panji Pustaka,9791606315,2008,500,Sains,75000,1,Kamus Lengkap Biologi
Kamus Lengkap Fisika ,Bisri Mustofa,Panji Pustaka,9789781606960,2010,500,Sains,75000,1,Kamus Lengkap Fisika 
Mengenal Laut,Beni S. Ambarjaya,Penerbit Putra Setia,1234567890125,2008,500,Sains,75000,1,Mengenal Laut
Aljabar Linear,"Seymour Lipschutz, Marc Lars Lipson, Julian Gressando",Erlangga,9789797415020,2002,500,Sains,75000,1,Aljabar Linear
Biologi Molekuler Dan Sel,"William D,Stanfield, Jaime S.Colome, Raul J.Cano, Varian Fahmi",Erlangga,9789797811914,2003,500,Sains,75000,1,Biologi Molekuler Dan Sel
Langkah Awal Menuju Ke Olimpiade Matematika,Wono Setya Budhi,Ricardo,9799817501,2005,500,Sains,75000,1,Langkah Awal Menuju Ke Olimpiade Matematika
Intisari Matematika,Amir Tjolleng,PT. Bhuana Ilmu Populer,9786230406539,2021,500,Sains,75000,1,Intisari Matematika
Kamus Lengkap Biologi,"Dr. Abdul Kahfi Assidig, M.Mc.",Panji Pustaka,9791606315,2008,500,Sains,75000,1,Kamus Lengkap Biologi
Jauhi Penyakit Dengan Makanan Mentah,"Prof. Dr.Hwang Sung -joo,M.D., ph.D.",PT Mizan Pustaka,9786021637609,2013,500,Sains,75000,1,Jauhi Penyakit Dengan Makanan Mentah
Save Your Life : Mengatasi 9 Penyakit Paling Mematikan,"Prof. Michael Kidd & Prof. Leanna Rowe, Rani Ekawati",Noura Books,9786021606421,2014,500,Sains,75000,1,Save Your Life : Mengatasi 9 Penyakit Paling Mematikan
The Miracle Of Cells: Rahasia Kehidupan dan Kecerdikan sel,Lewis Wolpert,Mizan Pustaka,9786028579674,2011,500,Sains,75000,1,The Miracle Of Cells: Rahasia Kehidupan dan Kecerdikan sel
9 Langkah Sehat Tanpa Dokter,Dr. Rashid A.Buttar LCC,"Qanita, Mizan Pustaka",9786021637180,2014,500,Sains,75000,1,9 Langkah Sehat Tanpa Dokter
Siap Jadi Juara Olimpiade Sains Nasional Biologi SMP,Tim Pustaka Cerdas,Pustaka Baru Press,9786020874425,2026,500,Sains,75000,1,Siap Jadi Juara Olimpiade Sains Nasional Biologi SMP
Langkah Revolusioner Sembuh Dari Asma,Richard N. Firshein ,Penerbit B-First,9789792438727,2010,500,Sains,75000,1,Langkah Revolusioner Sembuh Dari Asma
Biokimia,Philip Kuchel & Gregory B. Ralston,Penerbit Erlangga,9797812405,2006,500,Sains,75000,1,Biokimia
Obati Dirimu Dengan Al-Qur'an,"Abdeddaem Kaheel, Moh Syairozi",Iniperbasa,9786027231207,2015,500,Sains,75000,1,Obati Dirimu Dengan Al-Qur'an
Kitab Sehat MAYO CLINIC,"Mayo Clinic, Ns. Pamilih Eko Karyuni","Noura Books, Mizan Publika",9786027816879,2013,500,Sains,75000,1,Kitab Sehat MAYO CLINIC
Sembuh Dari Kanker dengan Berolahraga,Kwan Sik Seo & Ho Chyun Coi,PT. Mizan Pustaka,9786024020309,2016,500,Sains,75000,1,Sembuh Dari Kanker dengan Berolahraga
Makan Sayur Seasyik Bermain,Dyah Pratitasari,PT Bentang Pustaka,9789792438871,2010,500,Sains,75000,1,Makan Sayur Seasyik Bermain
Islam dan Sains Modern,Nidhal Guessoum,Mizan Pustaka,9789794338445,2014,500,Sains,75000,1,Islam dan Sains Modern
Gaya Hidup Organik,William W Wongso,Mizan Pustaka,9786021637036,2013,500,Sains,75000,1,Gaya Hidup Organik
Menjadi Cantik Dalam 2 Minggu Dengan Air Putih,Yoo Taiwoo,Mizan Pustaka,9786021637630,2013,500,Sains,75000,1,Menjadi Cantik Dalam 2 Minggu Dengan Air Putih
Konsep Fisika Modern,Arthur Beiser,Erlangga,21000179,1987,500,Sains,75000,1,Konsep Fisika Modern
Menjadi Remaja Sehat: Panduan Remaja Dan Orang Tua Untuk Kesehatan Usia Puber,Rani Sundari Ekawati,Penerbit Qanita,9786029225402,2012,500,Sains,75000,1,Menjadi Remaja Sehat: Panduan Remaja Dan Orang Tua Untuk Kesehatan Usia Puber
Blak-blakan Kanker Payudara,"dr. Monty P. Soemitro, Sp. B(K) Onk., M. Kes-FINACS",PT Mizan Pustaka,9786029225570,2012,500,Sains,75000,1,Blak-blakan Kanker Payudara
Langkah Awal Menuju Ke Olimpiade Matematika,Wono Setya Budhi,Ricardo,9799817501,2005,500,Sains,75000,1,Langkah Awal Menuju Ke Olimpiade Matematika
Kupas Tuntas Matematika Keuangan Dengan MS Excel,Johar Arifin,Elex Media Komputindo,9786020278797,2016,500,Sains,75000,1,Kupas Tuntas Matematika Keuangan Dengan MS Excel
Pembelajaran Tematik Terpadu,"Dr. Rusman, M.Pd.",Rajagrafindo Persada,9789797698454,2015,500,Sains,75000,1,Pembelajaran Tematik Terpadu
Pendekatan Ilmiah Dalam Implementasi Kurikulum 2013,"Abdul Majid, Chaerul Rochman",Remaja Rosdakarya,9789796925810,2014,500,Sains,75000,1,Pendekatan Ilmiah Dalam Implementasi Kurikulum 2013
Ensiklopedi Sains Dan Kehidupan,"Suroso AY, Anna P, Kardiawarman",Tarity Samudra Berlian,9798855051,2003,500,Sains,75000,1,Ensiklopedi Sains Dan Kehidupan
Matematika: BAHAN PENYERTA Siaran Televisi Edukasi untuk siswa,"Yeni Husnaeni,dkk",Pusat Teknologi Informasi dan Komunikasi Pendidikan Departemen Pendidikan Nasional,9789793322131,2007,500,Sains,75000,1,Matematika: BAHAN PENYERTA Siaran Televisi Edukasi untuk siswa
Matematika: BAHAN PENYERTA Siaran Televisi Edukasi untuk guru,"Yeni Husnaeni,dkk",Pusat Teknologi Informasi dan Komunikasi Pendidikan Departemen Pendidikan Nasional,9789793322148,2007,500,Sains,75000,1,Matematika: BAHAN PENYERTA Siaran Televisi Edukasi untuk guru
Pengajaran Matematika:Kurikulum Inti Bersama,"Harvey F.Silver, dkk",PT Indeks,9789790620216,2013,500,Sains,75000,1,Pengajaran Matematika:Kurikulum Inti Bersama
Ensiklopedi Matematika untuk SLTP,"DR.Wahyudin, Drs,M.Pd",Tarity Samudra Berlian,9798855078,2003,500,Sains,75000,1,Ensiklopedi Matematika untuk SLTP
Ensiklopedia IPA Jilid 4,"Joanne Long, Claire Naylor, Anis Apriliawati",Lentera Abadi,9789793535623,2009,500,Sains,75000,1,Ensiklopedia IPA Jilid 4
Ensiklopedia IPA Jilid 5,"Joanne Long, Claire Naylor, Anis Apriliawati",Lentera Abadi,9789793535630,2009,500,Sains,75000,1,Ensiklopedia IPA Jilid 5
Ensiklopedia IPA Percobaan Sains Jilid 2,"Nita Sudarjo, Ina Suryono",Lentera Abadi,9789793535661,2009,500,Sains,75000,1,Ensiklopedia IPA Percobaan Sains Jilid 2
Ensiklopedia Sains Dan Teknologi Jilid 1,"Simon Murrel, Anis Apriliawati, Yohanes Agustono",Lentera Abadi,9789793535340,2016,500,Sains,75000,1,Ensiklopedia Sains Dan Teknologi Jilid 1
Ensiklopedia Matematika Jilid 2,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083026,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 2
Ensiklopedia Matematika Jilid 3,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083033,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 3
Ensiklopedia Matematika Jilid 4,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083040,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 4
Ensiklopedia Matematika Jilid 5,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083057,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 5
Ensiklopedia Matematika Jilid 6,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083064,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 6
Ensiklopedia Matematika Jilid 7,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083071,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 7
Ensiklopedia Matematika Jilid 8,"A. Ismunamto, S.Pd.",Lentera Abadi,9786029083088,2011,500,Sains,75000,1,Ensiklopedia Matematika Jilid 8
Gratis Keliling Indonesia & Belajar di luar Negri karena Blog,Nonadita,Mizan Media Utama,9786028864053,2010,600,Teknologi,75000,1,Gratis Keliling Indonesia & Belajar di luar Negri karena Blog
Trik Rahasia Mendapat 1.000.000 Hits Di Google,Feri Sulianta,Elex Media Komputindo,9786020229300,2014,600,Teknologi,75000,1,Trik Rahasia Mendapat 1.000.000 Hits Di Google
Why Samsung,"Koh Seung Hee, Pradipta Nurmaya, Rencidipta",Bentang Pustaka,9786027888586,2013,600,Teknologi,75000,1,Why Samsung
Panduan Dasar SPSS,Edy Winarno ST dkk,Elex Media Komputindo,9786020265568,2015,600,Teknologi,75000,1,Panduan Dasar SPSS
250+ PowerTips Seputar Internet,Christopher Lee,Elex Media Komputindo,9786020270173,2015,600,Teknologi,75000,1,250+ PowerTips Seputar Internet
Blogging: Have Fun and get the Money,Carolina Ratri,Stiletto Book,9786027572447,2015,600,Teknologi,75000,1,Blogging: Have Fun and get the Money
Toko Online Modern,Jubille Enterprise,PT. Elex Media Komputindo,9786020206394,2013,600,Teknologi,75000,1,Toko Online Modern
Aplikasi Excel untuk Perhitungan Keuangan Syariah,Wahana Komputer,Andi Offset,9789792952681,2016,600,Teknologi,75000,1,Aplikasi Excel untuk Perhitungan Keuangan Syariah
MS Excel untuk Pembukuan dan Akuntasi,Jubilee Enterprise,Elex Media Komputindo,9786020433400,2017,600,Teknologi,75000,1,MS Excel untuk Pembukuan dan Akuntasi
100 Tip & Trik Microsoft PowerPoint 2013,MADCOMS,Andi Offset,9789792950052,2014,600,Teknologi,75000,1,100 Tip & Trik Microsoft PowerPoint 2013
Powering Your Microblogs,Toniy Hendroyono,PT. Mizan Publika,9789793714691,2010,600,Teknologi,75000,1,Powering Your Microblogs
Cara Mudah Membuat Media Pembelajarab Game Kuis,"Drs. Widada, M.Kom & Bekti Wulansari, S.Pd",Penerbit Gava Media,9786027869646,2015,600,Teknologi,75000,1,Cara Mudah Membuat Media Pembelajarab Game Kuis
Trik RAB Menggunakan MS Excel ,Jubilee Enterprise,Elex Media Komputindo,9786020267197,2015,600,Teknologi,75000,1,Trik RAB Menggunakan MS Excel 
Membuat Toko Online Hanya dengan 1 Jam dengan WordPress,Ahya Udin,Andi Offset,9789792952827,2015,600,Teknologi,75000,1,Membuat Toko Online Hanya dengan 1 Jam dengan WordPress
Grafik dan Animasi Profesional PowerPoint,"Edy Winarno ST, M.Eng",Elex Media Komputindo,9786020271798,2015,600,Teknologi,75000,1,Grafik dan Animasi Profesional PowerPoint
3 In 1 Microsoft Office 2013,Matius Tomy Suryadi,Andi Offset,9789792947946,2015,600,Teknologi,75000,1,3 In 1 Microsoft Office 2013
The New Digital Age,"Eric Schmidt,Jared Cohen, Selviya Hanna",Gramedia,9789799107598,2014,600,Teknologi,75000,1,The New Digital Age
155 Tip & Trik MS Office Untuk Semua Kalangan,Jubilee Enterprise,Elex Media Komputindo,9786020245614,2014,600,Teknologi,75000,1,155 Tip & Trik MS Office Untuk Semua Kalangan
Smart Business Mengasah Ketajaman Naluri Bisnis,Reza M. Syarief,Prestasi,9789799959164,2008,600,Teknologi,75000,1,Smart Business Mengasah Ketajaman Naluri Bisnis
Trik Solusi Bisnis Praktis dengan Excel,Jubilee Enterprise,Elex Media Komputindo,9786020258546,2015,600,Teknologi,75000,1,Trik Solusi Bisnis Praktis dengan Excel
Transaksi Online Dalam dan Luar Negeri,Feri Sulianta,Elex Media Komputindo,9786020241913,2014,600,Teknologi,75000,1,Transaksi Online Dalam dan Luar Negeri
Kupas Tuntas Teknologi Virtualisasi,Efrizal Zaida,Penerbit Andi,9789792921649,2013,600,Teknologi,75000,1,Kupas Tuntas Teknologi Virtualisasi
Cara Lain Membuat Presentasi Menarik dan Canggih,Jasmadi Tim EMS,Elex Media Komputindo,9786020260730,2015,600,Teknologi,75000,1,Cara Lain Membuat Presentasi Menarik dan Canggih
24 Jam Punya Blog dan Toko Online Pakai Wordpress,Jubilee Enterprise,Elex Media Komputindo,9786020260495,2015,600,Teknologi,75000,1,24 Jam Punya Blog dan Toko Online Pakai Wordpress
Kupas Tips dan Trik Tersembunyi Microsoft Office 2013,Andrea Adelheid,MediaKom,9789798774010,2014,600,Teknologi,75000,1,Kupas Tips dan Trik Tersembunyi Microsoft Office 2013
Trik Membuat Toko Online,Jubilee Enterprise,Elex Media Komputindo,9786020262321,2015,600,Teknologi,75000,1,Trik Membuat Toko Online
Buku Sakti Formula dan Fungsi Excel 2007-2013,Adi Kusrianto,Elex Media Komputindo,9786020271675,2015,600,Teknologi,75000,1,Buku Sakti Formula dan Fungsi Excel 2007-2013
@Blog dokter,Dr. I Made C.Wirawan,Noura Books,9786021606735,2014,600,Teknologi,75000,1,@Blog dokter
Mengubah Dunia Bareng-Bareng,Ridwan Kamil,"Kaifa, Mizan Pustaka",9786027870857,2015,600,Teknologi,75000,1,Mengubah Dunia Bareng-Bareng
Cara Cepat Menyelesaikan Pekerjaan Dengan Excel,Yudhy Wicaksono & Solusi Kantor,PT Elex Media Komputindo,9786020280097,2016,600,Teknologi,75000,1,Cara Cepat Menyelesaikan Pekerjaan Dengan Excel
Photoshop untuk Pekerjaan Kantoran,Hasto Suprayoogo,PT Elex Media Komputindo,9786020279992,2016,600,Teknologi,75000,1,Photoshop untuk Pekerjaan Kantoran
Android For Online Business,Wahana Komputer,PT Elex Media Komputindo,9786020209166,2013,600,Teknologi,75000,1,Android For Online Business
Cara Aktif Memebuat CD Interaktif,Ahmad Musyaffak,PT Elex Media Komputindo,9786020247809,2014,600,Teknologi,75000,1,Cara Aktif Memebuat CD Interaktif
Internet Untuk Guru Dan Siswa ,Jubilee Enterprise,PT Elex Media Komputindo,9786020269962,2015,600,Teknologi,75000,1,Internet Untuk Guru Dan Siswa 
Trik Presentasi Chart Dengan Powerpoint & Exel,Jubilee Enterprise,PT Elex Media Komputindo,9786020240954,2014,600,Teknologi,75000,1,Trik Presentasi Chart Dengan Powerpoint & Exel
Mendidik Anak Di Era Digital ,Yee-Jin Shin,PT Mizan Publika ,9786021306253,2014,600,Teknologi,75000,1,Mendidik Anak Di Era Digital 
Let's Get Digital,Fary SJ Oroh,PT Elex Media Komputindo,9786020258881,2015,600,Teknologi,75000,1,Let's Get Digital
Cara Pintar Menembus Pasar,Djati Sutomo,Republika Penerbit,979321063x,2006,600,Teknologi,75000,1,Cara Pintar Menembus Pasar
Excel In Math,"Tri Kuswohadi,S.Pd",Prestasi Pustaka,9792410945,2006,600,Teknologi,75000,1,Excel In Math
Bloger Untuk Pemula ,Ricky Rachmanto & Grafisku Studio,PT Elex Media Komputindo,9786020264431,2015,600,Teknologi,75000,1,Bloger Untuk Pemula 
Kiat Dahsyat Membangun Usaha Online dari Nol,"Feri Sulianta, S.T., M.T.",PT Elex Media Komputindo,9786020275703,2015,600,Teknologi,75000,1,Kiat Dahsyat Membangun Usaha Online dari Nol
Mahir Vlookup,Adib Mubarrok,Elex Media Komputindo,9786020421346,2017,600,Teknologi,75000,1,Mahir Vlookup
Keajaiban Sosial Media,Feri Sulianta,PT Elex Media Komputindo,9786020262895,2015,600,Teknologi,75000,1,Keajaiban Sosial Media
 Dakwah Online,Fadil Ibnu Ahmad,PT. Mizan Pustaka,9786029255942,2014,600,Teknologi,75000,1, Dakwah Online
Kupas Tuntas Data Penelitian dengan SPSS 22,Getut Pramesti,PT. Elex Media Komputindo,9786020255415,2015,600,Teknologi,75000,1,Kupas Tuntas Data Penelitian dengan SPSS 22
Membuat Web Profil Sekolah + PPDB Online,Agus Hariyanto,CV. Lokomedia,9786027190511,2015,600,Teknologi,75000,1,Membuat Web Profil Sekolah + PPDB Online
Perfeeksionisme Dan Faalangst,"Julia Maria Van Tiel, Johan Flores Van Tiel",Prenadamedia Group,9789793464992,2015,600,Teknologi,75000,1,Perfeeksionisme Dan Faalangst
Apliksi Smartphone Untuk Bisnis,Taufik Hidayat,PT. Transmedia ,9797944484,2014,600,Teknologi,75000,1,Apliksi Smartphone Untuk Bisnis
"116 Strategi Kuasai Excel 2007, 2010, 2013","Hamdan Lugina Jaya, S.Pd",PT. Elex Media Komputindo,9786020253169,2013,600,Teknologi,75000,1,"116 Strategi Kuasai Excel 2007, 2010, 2013"
Cara Cepat Membuat Segala Jenis Website,Andrea Adelheid,PT Elex Media Komputindo,9786020253510,2013,600,Teknologi,75000,1,Cara Cepat Membuat Segala Jenis Website
1 Juta Rupiah Pertama Anda dari twitter,Jefferly Helianthusonfri,Elex Media Komputindo,9786020252216,2014,600,Teknologi,75000,1,1 Juta Rupiah Pertama Anda dari twitter
Kaya Lewat Terjemahan,Silvester Goridus Sukur,Qanita,9789793269986,2009,600,Teknologi,75000,1,Kaya Lewat Terjemahan
Belajar Statistika dari Nol dengan SPSS,"Edy Winarto, Ali Zaki, SmitDev Community",Kompas Gramedia,9786020231303,2014,600,Teknologi,75000,1,Belajar Statistika dari Nol dengan SPSS
SPSS Untuk Pemula,Jubilee Enterprise,PT Elex Media Komputindo,9786020251844,2014,600,Teknologi,75000,1,SPSS Untuk Pemula
Asiknya Membuat Game 2D,Nanda Prasetyo,Elex Media Komputindo,9786020252810,2014,600,Teknologi,75000,1,Asiknya Membuat Game 2D
Amazing Slide #miniMAX,Dhony Firmansyah,PT Gramedia Pustaka Utama,9786020320298,2015,600,Teknologi,75000,1,Amazing Slide #miniMAX
Teknologi Komunikasi & Informasi Pembelajaran,"Prof. Dr. Hamzah B. Uno, M.Pd. Dan Nina Lamatenggo, S.E., M.Pd.",PT Bumi Aksara,9789790105683,2010,600,Teknologi,75000,1,Teknologi Komunikasi & Informasi Pembelajaran
Ensiklopedia Iptek Jilid 1,"The Kingfisher, Tim Penerbit Lentera Abadi",Lentera Abadi,9793535016,2004,600,Teknologi,75000,1,Ensiklopedia Iptek Jilid 1
Ensiklopedia Iptek Jilid 2,"The Kingfisher, Tim Penerbit Lentera Abadi",Lentera Abadi,9793535024,2004,600,Teknologi,75000,1,Ensiklopedia Iptek Jilid 2
Ensiklopedia Iptek Jilid 3,"The Kingfisher, Tim Penerbit Lentera Abadi",Lentera Abadi,9793535032,2004,600,Teknologi,75000,1,Ensiklopedia Iptek Jilid 3
Ensiklopedia Iptek Jilid 4,"The Kingfisher, Tim Penerbit Lentera Abadi",Lentera Abadi,9793535040,2004,600,Teknologi,75000,1,Ensiklopedia Iptek Jilid 4
Ensiklopedia Iptek Jilid 5,"The Kingfisher, Tim Penerbit Lentera Abadi",Lentera Abadi,9793535059,2004,600,Teknologi,75000,1,Ensiklopedia Iptek Jilid 5
Muatan Lokal Ensiklopedia Iptek Jilid 6,"Dody Hidayat, Imam Firdaus",Lentera Abadi,9793535075,2004,600,Teknologi,75000,1,Muatan Lokal Ensiklopedia Iptek Jilid 6
Muatan Lokal Ensiklopedia Iptek Jilid 7,"Dody Hidayat, Imam Firdaus",Lentera Abadi,9793535083,2004,600,Teknologi,75000,1,Muatan Lokal Ensiklopedia Iptek Jilid 7
Muatan Lokal Ensiklopedia Iptek Jilid 8,"Dody Hidayat, Imam Firdaus",Lentera Abadi,9793535091,2004,600,Teknologi,75000,1,Muatan Lokal Ensiklopedia Iptek Jilid 8
Menjahit Kerudung Cantik,"Rida ""Ridcoll""",Kriya Pustaka,9786022130123,2014,700,Kesenian dan Rekreasi,75000,1,Menjahit Kerudung Cantik
40 Seni Manajemen Kelas ,Lubis Grafura dkk,Ar-Ruzz Media,9786023130542,2016,700,Kesenian dan Rekreasi,75000,1,40 Seni Manajemen Kelas 
Permainan Angka Untuk Kecerdasan Matematika Anak,"Heru Kurniawan, Titi Anisatul Laely",Laksana kidz,9786022559160,2015,700,Kesenian dan Rekreasi,75000,1,Permainan Angka Untuk Kecerdasan Matematika Anak
Kreasi Serba Stiker,Hanna Paluzi,Tiga Serangkai Pustaka Mandiri,9789790459168,2010,700,Kesenian dan Rekreasi,75000,1,Kreasi Serba Stiker
Kreasi Daur Ulang Membuat Kertas,Hanna Paluzi,Tiga Serangkai Pustaka Mandiri,9789790181267,2007,700,Kesenian dan Rekreasi,75000,1,Kreasi Daur Ulang Membuat Kertas
Kreasi dari Tutup Botol,Indah Apsari,Tiara Aksa,9786021656129,2014,700,Kesenian dan Rekreasi,75000,1,Kreasi dari Tutup Botol
Kreasi Feltie Hutan,Sarah Skeate,Tiga Ananda,9786022572916,2013,700,Kesenian dan Rekreasi,75000,1,Kreasi Feltie Hutan
Inspirasi Suvenir Cantik,"Elisa, Andie",GentaCraft,9786021431917,2013,700,Kesenian dan Rekreasi,75000,1,Inspirasi Suvenir Cantik
Boneka Rajut Amigurumi,"Neni Y.Nurhadiyat, Sherly A. Suherman",Dunia Kreasi,9786027991019,2013,700,Kesenian dan Rekreasi,75000,1,Boneka Rajut Amigurumi
Asiknya Mengolah Sampah Kertas Menjadi Mainan Edukatif,Herlita Jayadianti,Bentara Cipta Prima,9790202997,2011,700,Kesenian dan Rekreasi,75000,1,Asiknya Mengolah Sampah Kertas Menjadi Mainan Edukatif
Suvenir Cantik Dari Handuk,Nunung & Dewi,PT AgroMedia Pustaka,9791471800,2009,700,Kesenian dan Rekreasi,75000,1,Suvenir Cantik Dari Handuk
